Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID9807,9807,0,46.456,222.603,156.510,0,0,0,3.250,1,-10921639,71.541,37,-60,305,2647,99.990,4.550,1.698,0.901
ID9856,9856,0,28.318,221.403,157.883,0,1,1,3.250,1,-10921639,46.135,37,-35,176,1707,59.727,4.550,1.693,0.971
ID9757,9757,0,16.543,220.498,159.545,0,2,2,3.250,1,-10921639,24.865,13,-57,119,920,42.333,2.816,1.488,0.703
ID9910,9910,0,33.176,219.690,161.060,0,3,3,3.250,1,-10921639,49.459,30,-36,217,1830,64.415,4.550,1.968,1.018
ID10078,10078,0,33.339,219.143,162.692,0,4,4,3.250,1,-10921639,47.919,27,-64,223,1773,71.550,4.550,1.520,0.808
ID9970,9970,0,27.046,217.652,163.833,0,5,5,3.250,1,-10921639,44.973,35,-32,159,1664,49.484,4.550,1.727,1.151
ID10139,10139,0,31.800,215.961,167.668,0,7,7,3.250,1,-10921639,53.162,45,-44,200,1967,58.998,4.550,1.624,1.115
ID10289,10289,0,30.754,214.640,169.534,0,8,8,3.250,1,-10921639,55.243,43,-35,177,2044,54.874,4.550,1.703,1.269
ID10189,10189,0,17.318,213.841,171.147,0,9,9,3.250,1,-10921639,35.351,28,-34,116,1308,35.018,4.550,0.994,1.006
ID10239,10239,0,15.160,211.991,172.661,0,10,10,3.250,1,-10921639,30.622,33,-34,84,1133,26.631,4.550,1.587,1.411
ID9808,9808,1,104.436,253.246,158.897,0,0,0,3.250,1,-10921639,161.541,76,-70,691,5977,207.187,4.550,1.583,0.956
ID9857,9857,1,78.410,252.660,160.006,0,1,1,3.250,1,-10921639,123.000,66,-69,498,4551,160.118,4.550,1.511,0.925
ID9758,9758,1,55.709,251.508,161.425,0,2,2,3.250,1,-10921639,82.703,36,-67,355,3060,124.119,4.550,1.756,0.849
ID9911,9911,1,41.421,250.629,162.957,0,3,3,3.250,1,-10921639,53.892,42,-47,240,1994,79.904,4.550,3.728,1.064
ID10079,10079,1,28.279,249.855,164.370,0,4,4,3.250,1,-10921639,37.730,33,-67,165,1396,54.669,4.550,4.357,1.123
ID9971,9971,1,22.946,248.858,165.466,0,5,5,3.250,1,-10921639,31.568,30,-38,141,1168,47.940,4.550,2.751,0.966
ID10025,10025,1,34.753,247.889,167.672,0,6,6,3.250,1,-10921639,48.946,31,-52,199,1811,65.028,4.550,2.620,1.090
ID10140,10140,1,32.770,247.071,169.227,0,7,7,3.250,1,-10921639,45.162,32,-75,201,1671,62.875,4.550,2.458,1.021
ID10290,10290,1,38.278,246.270,170.976,0,8,8,3.250,1,-10921639,50.973,28,-77,260,1886,85.118,2.802,2.322,0.837
ID10191,10191,1,36.002,244.998,172.338,0,9,9,3.250,1,-10921639,56.000,32,-43,204,2072,64.961,4.550,2.337,1.207
ID10240,10240,1,32.364,244.024,174.278,0,10,10,3.250,1,-10921639,38.459,32,-66,188,1423,65.939,4.550,4.127,0.939
ID10334,10334,1,52.051,243.034,176.164,0,11,11,3.250,1,-10921639,72.757,46,-61,320,2692,98.959,4.550,2.360,1.033
ID10420,10420,1,53.460,242.526,177.447,0,12,12,3.250,1,-10921639,82.135,48,-47,329,3039,109.196,4.550,1.974,0.999
ID10378,10378,1,41.468,242.087,179.006,0,13,13,3.250,1,-10921639,58.919,35,-57,280,2180,85.085,4.550,1.789,0.888
ID10465,10465,1,22.499,241.740,180.263,0,14,14,3.250,1,-10921639,27.378,15,-54,164,1013,56.588,2.793,1.896,0.634
ID10512,10512,1,13.121,239.772,182.410,0,15,15,3.250,1,-10921639,14.946,17,-54,86,553,37.893,4.550,2.221,0.544
ID9809,9809,2,60.125,245.864,164.399,0,0,0,3.250,1,-10921639,90.297,49,-39,386,3341,119.348,4.550,1.982,1.006
ID9859,9859,2,22.801,245.328,165.207,0,1,1,3.250,1,-10921639,25.622,11,-71,192,948,64.826,2.766,2.028,0.529
ID9759,9759,2,19.836,243.509,166.767,0,2,2,3.250,1,-10921639,28.000,25,-42,95,1036,34.321,4.550,5.364,1.375
ID9912,9912,2,20.656,242.325,167.916,0,3,3,3.250,1,-10921639,30.838,21,-42,113,1141,39.659,4.550,3.325,1.196
ID9810,9810,3,57.469,261.137,171.573,0,0,0,3.250,1,-10921639,85.189,42,-61,384,3152,120.436,4.550,1.675,0.886
ID9860,9860,3,32.123,260.567,172.848,0,1,1,3.250,1,-10921639,40.541,17,-71,225,1500,76.081,2.802,1.763,0.680
ID9760,9760,3,32.635,259.637,174.064,0,2,2,3.250,1,-10921639,46.784,25,-51,220,1731,68.874,4.550,1.659,0.848
ID9913,9913,3,32.152,258.777,175.550,0,3,3,3.250,1,-10921639,46.595,23,-50,244,1724,77.363,2.785,1.518,0.726
ID10080,10080,3,37.197,257.724,177.235,0,4,4,3.250,1,-10921639,56.811,33,-57,232,2102,76.957,4.550,1.497,0.885
ID9972,9972,3,32.434,257.192,178.542,0,5,5,3.250,1,-10921639,52.432,31,-54,239,1940,74.924,2.801,1.196,0.762
ID9811,9811,4,80.512,233.759,174.454,0,0,0,3.250,1,-10921639,134.108,80,-44,487,4962,154.191,4.550,1.591,1.068
ID9861,9861,4,81.884,232.923,175.836,0,1,1,3.250,1,-10921639,124.189,93,-82,534,4595,159.026,4.550,1.638,0.970
ID9761,9761,4,90.292,232.168,177.444,0,2,2,3.250,1,-10921639,158.757,112,-74,538,5874,165.512,4.550,1.627,1.188
ID9914,9914,4,122.965,231.264,179.067,0,3,3,3.250,1,-10921639,205.595,141,-78,747,7607,231.780,4.550,1.517,1.069
ID10082,10082,4,88.572,230.273,180.562,0,4,4,3.250,1,-10921639,157.676,128,-59,500,5834,160.208,4.550,1.464,1.169
ID9973,9973,4,65.902,229.304,182.283,0,5,5,3.250,1,-10921639,123.081,92,-27,368,4554,115.550,4.550,1.390,1.239
ID10027,10027,4,52.525,228.359,184.332,0,6,6,3.250,1,-10921639,99.514,85,-23,288,3682,90.824,4.550,1.427,1.289
ID10141,10141,4,28.016,227.005,185.676,0,7,7,3.250,1,-10921639,55.135,53,-40,153,2040,47.450,4.550,1.466,1.381
ID10291,10291,4,27.959,226.664,186.912,0,8,8,3.250,1,-10921639,45.730,34,-38,181,1692,55.953,4.550,1.363,0.943
ID10193,10193,4,15.178,225.648,189.036,0,9,9,3.250,1,-10921639,23.919,18,-42,122,885,39.685,2.794,0.906,0.573
ID9864,9864,5,13.727,233.463,184.958,0,1,1,3.250,1,-10921639,26.649,25,-24,66,986,24.881,4.550,1.799,1.377
ID9763,9763,5,15.517,232.690,188.109,0,2,2,3.250,1,-10921639,25.270,24,-24,74,935,28.001,4.550,5.670,1.534
ID9915,9915,5,19.615,232.342,190.033,0,3,3,3.250,1,-10921639,25.865,20,-30,86,957,31.954,4.550,9.776,1.469
ID9814,9814,6,16.657,194.395,188.683,0,0,0,3.250,1,-10921639,31.973,25,-30,110,1183,35.525,4.550,1.269,1.007
ID9865,9865,6,15.157,193.943,190.208,0,1,1,3.250,1,-10921639,30.649,28,-24,96,1134,31.012,4.550,1.098,1.034
ID9764,9764,6,13.594,193.152,190.688,0,2,2,3.250,1,-10921639,30.216,34,-19,70,1118,23.119,4.550,1.311,1.483
ID9916,9916,6,13.867,193.040,193.247,0,3,3,3.250,1,-10921639,33.622,29,1,79,1244,19.337,4.550,1.252,1.933
ID9817,9817,7,99.348,223.168,195.512,0,0,0,3.250,1,-10921639,158.892,127,-86,647,5879,206.389,4.550,1.506,0.925
ID9866,9866,7,139.612,222.541,196.545,0,1,1,3.250,1,-10921639,230.703,160,-108,877,8536,286.356,4.550,1.553,0.980
