Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID89281,89281,0,67.172,173.911,184.206,0,0,0,3.250,1,-10921639,107.703,94,-106,350,3985,130.829,4.550,2.203,1.132
ID89180,89180,0,63.774,173.623,184.287,0,1,1,3.250,1,-10921639,105.973,90,-81,378,3921,120.205,4.550,2.060,1.187
ID89230,89230,0,73.981,173.058,184.367,0,2,2,3.250,1,-10921639,105.000,47,-104,498,3885,158.207,4.550,1.666,0.830
ID89328,89328,0,89.081,173.006,184.340,0,3,3,3.250,1,-10921639,119.919,27,-126,633,4437,198.081,2.795,1.758,0.772
ID89373,89373,0,88.723,173.078,184.337,0,4,4,3.250,1,-10921639,126.946,49,-73,626,4697,188.851,2.792,1.634,0.834
ID89452,89452,0,100.690,173.054,184.184,0,5,5,3.250,1,-10921639,132.703,57,-101,700,4910,216.244,2.799,1.851,0.797
ID89408,89408,0,69.912,173.337,184.283,0,6,6,3.250,1,-10921639,93.000,48,-92,507,3441,158.314,2.793,1.756,0.749
ID89490,89490,0,54.964,173.308,184.130,0,7,7,3.250,1,-10921639,73.838,43,-89,405,2732,127.988,2.791,1.628,0.715
ID89568,89568,0,65.122,173.210,183.875,0,8,8,3.250,1,-10921639,87.649,47,-83,437,3243,136.503,4.550,1.942,0.848
ID89529,89529,0,53.323,173.073,184.069,0,9,9,3.250,1,-10921639,63.108,26,-79,383,2335,119.821,2.788,2.182,0.722
ID89600,89600,0,31.270,173.147,183.987,0,10,10,3.250,1,-10921639,33.676,15,-64,247,1246,78.864,2.774,2.338,0.598
ID89638,89638,0,24.401,173.180,183.993,0,11,11,3.250,1,-10921639,30.811,18,-43,167,1140,53.299,2.796,3.439,0.896
ID89671,89671,0,21.163,173.361,184.368,0,12,12,3.250,1,-10921639,24.459,18,-55,137,905,49.443,2.817,2.798,0.729
ID89707,89707,0,28.154,173.269,183.933,0,13,13,3.250,1,-10921639,29.432,24,-61,204,1089,67.394,2.787,4.325,0.709
ID89742,89742,0,22.717,173.303,183.932,0,14,14,3.250,1,-10921639,22.568,7,-54,160,835,53.020,2.789,5.445,0.719
ID89777,89777,0,28.821,173.370,183.879,0,15,15,3.250,1,-10921639,28.486,13,-79,212,1054,70.418,2.787,5.019,0.675
ID89819,89819,0,39.942,173.004,183.865,0,16,16,3.250,1,-10921639,42.054,19,-87,281,1556,89.969,2.794,3.646,0.734
ID89859,89859,0,30.140,173.175,183.972,0,17,17,3.250,1,-10921639,35.811,29,-61,201,1325,66.047,4.550,3.090,0.819
ID89901,89901,0,29.798,173.310,184.108,0,18,18,3.250,1,-10921639,38.027,25,-38,181,1407,58.809,4.550,3.192,0.985
ID89938,89938,0,30.153,173.192,184.057,0,19,19,3.250,1,-10921639,32.270,18,-68,220,1194,73.035,2.792,2.754,0.648
ID89983,89983,0,23.166,173.622,184.007,0,20,20,3.250,1,-10921639,31.081,12,-30,155,1150,49.010,4.550,2.511,0.907
ID89280,89280,1,61.951,183.088,181.172,0,0,0,3.250,1,-10921639,73.622,38,-60,440,2724,138.040,2.791,2.625,0.772
ID89178,89178,1,56.880,182.787,181.048,0,1,1,3.250,1,-10921639,62.703,16,-71,463,2320,142.066,2.772,2.336,0.618
ID89229,89229,1,56.820,183.048,181.061,0,2,2,3.250,1,-10921639,60.838,25,-75,404,2251,128.854,2.792,3.433,0.731
ID89327,89327,1,45.081,183.402,181.107,0,3,3,3.250,1,-10921639,46.405,14,-83,300,1717,103.314,2.801,5.182,0.753
ID89372,89372,1,37.327,183.362,181.038,0,4,4,3.250,1,-10921639,37.378,10,-49,255,1383,87.022,2.801,5.409,0.725
ID89451,89451,1,38.855,183.282,181.116,0,5,5,3.250,1,-10921639,41.649,-2,-68,303,1541,99.578,2.782,2.758,0.614
ID89407,89407,1,36.330,183.429,181.026,0,6,6,3.250,1,-10921639,41.108,8,-102,262,1521,89.624,2.797,2.288,0.638
ID89489,89489,1,60.831,183.460,181.205,0,7,7,3.250,1,-10921639,67.919,4,-85,446,2513,155.441,2.793,2.107,0.593
ID89567,89567,1,82.987,183.028,181.285,0,8,8,3.250,1,-10921639,98.324,22,-100,604,3638,195.566,2.794,1.998,0.670
ID89528,89528,1,80.313,182.949,181.534,0,9,9,3.250,1,-10921639,104.838,35,-103,570,3879,182.209,4.550,1.905,0.755
ID89599,89599,1,40.359,182.895,181.286,0,10,10,3.250,1,-10921639,53.378,33,-55,272,1975,87.330,4.550,2.305,0.853
ID89637,89637,1,27.747,183.208,181.626,0,11,11,3.250,1,-10921639,33.054,8,-37,197,1223,63.728,2.798,2.421,0.734
ID89670,89670,1,25.843,182.861,181.343,0,12,12,3.250,1,-10921639,26.811,12,-81,184,992,64.833,2.798,3.497,0.643
ID89706,89706,1,26.026,183.208,181.530,0,13,13,3.250,1,-10921639,29.514,15,-46,155,1092,53.064,4.550,5.544,0.942
ID89741,89741,1,39.794,182.925,181.138,0,14,14,3.250,1,-10921639,40.649,6,-104,299,1504,99.491,2.785,2.665,0.594
ID89776,89776,1,42.589,182.846,180.973,0,15,15,3.250,1,-10921639,49.270,24,-57,314,1823,100.625,2.790,2.002,0.653
ID89818,89818,1,43.406,182.848,180.956,0,16,16,3.250,1,-10921639,56.568,28,-52,333,2093,98.526,2.785,2.073,0.775
