Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID250,250,1,29.864,97.778,177.011,0,2,2,3.250,1,-10921639,57.946,60,-37,139,2144,44.600,4.550,1.962,1.721
ID386,386,1,37.401,98.288,178.208,0,3,3,3.250,1,-10921639,67.432,70,-24,188,2495,57.597,4.550,1.803,1.506
ID518,518,1,34.632,100.193,177.493,0,4,4,3.250,1,-10921639,77.405,81,-58,160,2864,47.847,4.550,1.525,1.954
ID595,595,1,30.772,98.153,179.687,0,5,5,3.250,1,-10921639,64.622,63,-48,159,2391,55.044,4.550,1.228,1.294
ID178,178,4,45.414,130.011,180.155,0,1,1,3.250,1,-10921639,85.811,64,-43,296,3175,87.530,4.550,1.038,0.999
ID253,253,4,49.309,130.060,181.289,0,2,2,3.250,1,-10921639,69.459,41,-68,313,2570,102.939,4.550,1.337,0.772
ID389,389,4,46.654,130.010,181.385,0,3,3,3.250,1,-10921639,80.459,70,-56,281,2977,87.385,4.550,1.176,0.995
ID521,521,4,48.818,130.297,180.855,0,4,4,3.250,1,-10921639,68.108,44,-82,330,2520,106.596,2.798,1.412,0.748
ID596,596,4,72.521,130.075,180.842,0,5,5,3.250,1,-10921639,79.000,18,-130,556,2923,180.487,2.787,1.553,0.533
ID455,455,4,88.647,130.303,180.649,0,6,6,3.250,1,-10921639,121.622,52,-109,594,4500,196.116,4.550,1.641,0.771
ID320,320,5,28.537,274.483,54.396,0,3,3,3.250,1,-10921639,53.216,47,-43,153,1969,53.597,4.550,1.612,1.225
ID456,456,5,26.781,274.956,53.276,0,4,4,3.250,1,-10921639,44.189,38,-34,157,1635,51.143,4.550,1.610,1.066
ID522,522,5,25.044,274.443,54.075,0,5,5,3.250,1,-10921639,45.811,32,-27,139,1695,47.099,4.550,1.663,1.215
ID390,390,5,29.990,274.799,53.834,0,6,6,3.250,1,-10921639,55.946,56,-58,163,2070,54.909,4.550,1.540,1.236
ID180,180,7,46.212,245.528,95.719,0,2,2,3.250,1,-10921639,90.378,75,-77,315,3344,94.560,4.550,0.985,0.948
ID322,322,7,56.172,244.315,96.000,0,3,3,3.250,1,-10921639,110.730,90,-47,336,4097,100.793,4.550,1.218,1.206
ID458,458,7,29.140,243.249,96.732,0,4,4,3.250,1,-10921639,56.243,45,-52,209,2081,66.803,4.550,0.909,0.802
ID524,524,7,37.807,241.920,98.677,0,5,5,3.250,1,-10921639,90.027,88,-25,206,3331,72.300,4.550,0.978,1.231
ID392,392,7,40.922,242.417,99.007,0,6,6,3.250,1,-10921639,92.297,90,-15,217,3415,68.256,4.550,1.117,1.427
ID326,326,9,25.007,224.017,109.508,0,3,3,3.250,1,-10921639,56.459,59,-36,131,2089,39.517,4.550,1.192,1.554
ID462,462,9,32.623,222.721,110.417,0,4,4,3.250,1,-10921639,68.162,61,-20,177,2522,54.178,4.550,1.602,1.549
ID527,527,9,49.960,222.017,110.909,0,5,5,3.250,1,-10921639,92.703,79,-33,292,3430,83.370,4.550,1.437,1.311
ID394,394,9,48.149,222.105,112.973,0,6,6,3.250,1,-10921639,98.919,95,-60,292,3660,88.779,4.550,1.195,1.213
ID187,187,10,29.927,143.367,114.812,0,2,2,3.250,1,-10921639,49.811,44,-79,192,1843,68.248,11.599,1.408,0.854
ID328,328,10,40.659,143.203,115.755,0,3,3,3.250,1,-10921639,68.892,50,-57,254,2549,79.141,4.550,1.715,1.100
ID465,465,10,42.560,143.950,116.254,0,4,4,3.250,1,-10921639,102.324,99,35,174,3786,46.018,4.550,1.643,2.765
ID530,530,10,42.456,143.431,115.727,0,5,5,3.250,1,-10921639,89.054,92,-22,196,3295,57.514,4.550,1.706,1.953
ID396,396,10,59.922,144.135,116.076,0,6,6,3.250,1,-10921639,106.892,80,-50,360,3955,100.913,4.550,1.695,1.333
ID127,127,15,128.670,136.180,125.016,0,1,1,3.250,1,-10921639,192.297,147,-116,844,7115,274.513,4.550,1.366,0.809
ID197,197,15,151.518,136.297,124.885,0,2,2,3.250,1,-10921639,236.811,147,-153,925,8762,298.571,4.550,1.601,0.976
ID336,336,15,120.838,137.021,124.928,0,3,3,3.250,1,-10921639,175.865,134,-127,810,6507,247.240,4.550,1.599,0.875
ID473,473,15,140.021,136.829,124.825,0,4,4,3.250,1,-10921639,216.459,167,-123,846,8009,262.246,4.550,1.737,1.048
ID542,542,15,98.087,136.593,124.996,0,5,5,3.250,1,-10921639,143.378,88,-147,586,5305,199.029,4.550,1.709,0.909
ID405,405,15,111.475,136.896,124.836,0,6,6,3.250,1,-10921639,159.459,114,-154,711,5900,227.080,4.550,1.630,0.870
ID338,338,17,30.516,203.996,125.067,0,3,3,3.250,1,-10921639,41.270,33,-71,176,1527,63.312,4.550,3.293,1.000
ID475,475,17,35.663,202.807,125.949,0,4,4,3.250,1,-10921639,49.432,34,-71,183,1829,62.448,4.550,3.041,1.191
ID544,544,17,47.269,202.094,127.366,0,5,5,3.250,1,-10921639,69.919,46,-61,281,2587,90.725,4.550,1.945,1.018
ID406,406,17,63.411,201.351,127.455,0,6,6,3.250,1,-10921639,103.135,72,-44,349,3816,116.811,4.550,1.908,1.159
ID138,138,24,36.453,81.462,136.572,0,1,1,3.250,1,-10921639,81.486,79,-41,194,3015,58.796,4.550,1.338,1.586
ID208,208,24,39.264,79.946,138.102,0,2,2,3.250,1,-10921639,65.027,55,-79,255,2406,88.635,4.550,1.353,0.844
ID347,347,24,49.685,80.502,137.299,0,3,3,3.250,1,-10921639,98.243,95,-58,336,3635,107.477,4.550,1.044,0.934
ID483,483,24,67.793,80.559,138.126,0,4,4,3.250,1,-10921639,95.000,52,-110,493,3515,160.838,2.798,1.297,0.667
ID551,551,24,61.826,80.796,137.936,0,5,5,3.250,1,-10921639,97.784,75,-131,412,3618,135.061,4.550,1.338,0.829
ID414,414,24,100.634,81.112,138.325,0,6,6,3.250,1,-10921639,168.189,97,-98,638,6223,210.546,4.550,1.251,0.888
ID213,213,27,29.500,162.973,139.889,0,2,2,3.250,1,-10921639,9.838,-17,-103,226,364,82.663,2.778,-2.971,0.359
ID351,351,27,40.670,162.730,139.404,0,3,3,3.250,1,-10921639,49.811,31,-111,247,1843,89.861,4.550,3.410,0.857
ID487,487,27,29.635,162.953,139.978,0,4,4,3.250,1,-10921639,38.405,42,-45,164,1421,56.823,4.550,3.366,1.042
ID554,554,27,46.655,163.760,139.696,0,5,5,3.250,1,-10921639,57.189,33,-86,304,2116,99.713,4.550,3.202,0.874
ID417,417,27,42.091,163.537,139.512,0,6,6,3.250,1,-10921639,47.351,38,-100,245,1752,86.614,4.550,7.138,0.959
ID353,353,29,52.468,131.237,142.538,0,3,3,3.250,1,-10921639,91.784,96,-124,325,3396,110.358,4.550,2.212,1.145
ID489,489,29,27.029,131.797,141.563,0,4,4,3.250,1,-10921639,24.135,0,-84,189,893,63.272,2.789,9.528,0.690
ID215,215,30,52.572,96.888,146.053,0,2,2,3.250,1,-10921639,58.757,31,-71,336,2174,107.685,4.550,4.188,0.881
ID356,356,30,61.497,96.898,145.979,0,3,3,3.250,1,-10921639,70.973,44,-93,340,2626,113.466,4.550,4.867,1.038
ID490,490,30,45.708,97.558,145.190,0,4,4,3.250,1,-10921639,80.595,89,-115,256,2982,96.010,4.550,2.335,1.175
ID558,558,30,41.603,97.194,145.522,0,5,5,3.250,1,-10921639,30.378,2,-150,306,1124,114.674,2.784,7.724,0.469
ID423,423,30,47.560,96.878,146.646,0,6,6,3.250,1,-10921639,59.514,23,-66,296,2202,102.929,4.550,4.116,0.930
ID363,363,36,49.486,146.724,152.896,0,3,3,3.250,1,-10921639,41.919,3,-108,302,1551,107.990,4.550,16.820,0.733
ID496,496,36,38.458,146.898,152.860,0,4,4,3.250,1,-10921639,31.541,-1,-122,257,1167,95.259,4.550,54.657,0.650
ID567,567,36,45.621,147.244,152.690,0,5,5,3.250,1,-10921639,48.216,7,-113,349,1784,118.813,4.550,6.718,0.706
ID429,429,36,52.879,146.494,152.707,0,6,6,3.250,1,-10921639,49.000,1,-129,369,1813,131.421,4.550,17.220,0.705
ID233,233,42,39.622,155.030,160.321,0,2,2,3.250,1,-10921639,62.135,36,-58,216,2299,73.101,4.550,1.843,1.102
ID369,369,42,34.429,155.543,160.372,0,3,3,3.250,1,-10921639,47.459,31,-65,241,1756,79.827,11.593,1.354,0.684
ID504,504,42,76.773,154.825,160.326,0,4,4,3.250,1,-10921639,113.730,95,-95,480,4208,148.342,4.550,1.943,1.012
ID574,574,42,80.113,154.964,159.939,0,5,5,3.250,1,-10921639,121.892,80,-48,483,4510,144.232,4.550,2.040,1.134
ID238,238,46,56.776,84.957,165.206,0,2,2,3.250,1,-10921639,79.135,44,-74,373,2928,130.300,4.550,1.527,0.734
ID374,374,46,85.383,85.240,165.524,0,3,3,3.250,1,-10921639,134.973,95,-119,538,4994,182.203,4.550,1.509,0.891
ID509,509,46,117.293,85.043,165.007,0,4,4,3.250,1,-10921639,168.351,118,-142,714,6229,225.993,4.550,1.976,0.989
ID581,581,46,170.690,85.214,165.250,0,5,5,3.250,1,-10921639,273.892,159,-100,1019,10134,335.047,4.550,1.520,0.986
ID442,442,46,113.050,85.220,165.486,0,6,6,3.250,1,-10921639,167.865,66,-128,701,6211,245.649,4.550,1.624,0.846
ID130,130,61,29.553,106.392,128.003,0,1,1,3.250,1,-10921639,63.486,62,-43,158,2349,46.135,4.550,1.278,1.544
ID200,200,61,33.356,107.274,128.952,0,2,2,3.250,1,-10921639,53.568,47,-44,166,1982,58.657,4.550,2.706,1.334
ID139,139,62,52.788,214.628,136.807,0,1,1,3.250,1,-10921639,81.297,62,-129,395,3008,138.676,2.801,0.789,0.517
ID207,207,62,33.174,213.064,137.319,0,2,2,3.250,1,-10921639,68.432,50,-67,283,2532,101.891,4.550,0.902,0.637
ID149,149,63,52.303,164.359,147.997,0,1,1,3.250,1,-10921639,55.351,34,-153,371,2048,136.684,2.795,1.668,0.506
ID218,218,63,62.042,164.514,148.152,0,2,2,3.250,1,-10921639,65.676,15,-100,435,2430,153.586,2.793,2.460,0.608
ID359,359,63,28.862,164.267,147.723,0,3,3,3.250,1,-10921639,17.946,11,-127,207,664,84.454,11.584,4.008,0.340
ID163,163,64,50.205,164.560,162.907,0,1,1,3.250,1,-10921639,73.351,33,-68,325,2714,103.150,4.550,1.803,0.915
ID235,235,64,42.874,165.270,162.986,0,2,2,3.250,1,-10921639,54.703,40,-69,292,2024,91.892,2.802,2.302,0.830
ID114,114,65,30.469,246.097,103.615,0,1,1,3.250,1,-10921639,63.324,57,-58,188,2343,61.879,4.550,0.868,0.951
ID184,184,65,30.470,244.636,105.937,0,2,2,3.250,1,-10921639,57.676,62,-60,171,2134,62.012,4.550,1.186,1.009
ID325,325,65,35.398,243.126,107.333,0,3,3,3.250,1,-10921639,61.243,52,-36,196,2266,69.889,4.550,1.398,1.022
ID119,119,66,34.665,139.032,118.798,0,1,1,3.250,1,-10921639,58.676,45,-163,365,2171,125.156,2.771,0.205,0.160
ID192,192,66,27.144,138.884,118.766,0,2,2,3.250,1,-10921639,43.514,32,-147,300,1610,110.590,11.574,-0.007,-0.006
ID181,181,67,28.432,237.891,100.372,0,2,2,3.250,1,-10921639,36.270,28,-60,161,1342,59.470,4.550,2.415,0.863
