Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID44672,44672,36,247.363,130.740,169.279,0,4,4,3.250,1,-10921639,405.622,260,-424,1735,15008,531.270,4.550,1.621,0.944
ID44733,44733,36,475.702,131.111,169.494,0,5,5,3.250,1,-10921639,713.838,300,-364,3401,26412,1041.661,4.550,1.608,0.845
ID44504,44504,37,108.239,73.347,175.026,0,1,1,3.250,1,-10921639,202.946,155,-100,741,7509,220.500,4.550,1.130,0.976
ID44562,44562,37,83.394,75.222,173.342,0,2,2,3.250,1,-10921639,194.595,194,-132,511,7200,174.371,4.550,1.078,1.158
ID44615,44615,37,142.019,76.702,171.406,0,3,3,3.250,1,-10921639,287.784,272,-85,825,10648,262.643,4.550,1.211,1.201
ID44673,44673,37,96.124,76.595,170.698,0,4,4,3.250,1,-10921639,217.000,250,-111,515,8029,190.428,4.550,1.466,1.355
ID44731,44731,37,65.664,77.386,168.404,0,5,5,3.250,1,-10921639,152.486,142,-13,378,5642,112.674,4.550,1.277,1.518
ID44616,44616,38,151.034,176.870,174.548,0,3,3,3.250,1,-10921639,290.919,267,-330,754,10764,306.655,4.550,1.502,1.139
ID44674,44674,38,156.883,178.792,175.864,0,4,4,3.250,1,-10921639,366.351,389,-355,839,13555,298.013,4.550,1.453,1.456
ID44736,44736,38,147.617,181.185,175.987,0,5,5,3.250,1,-10921639,314.297,284,-150,779,11629,238.648,4.550,1.426,1.548
ID44618,44618,39,55.987,137.499,176.887,0,3,3,3.250,1,-10921639,71.027,38,-80,396,2628,124.918,4.550,3.045,0.856
ID44676,44676,39,55.395,137.786,176.641,0,4,4,3.250,1,-10921639,72.081,42,-65,336,2667,102.064,4.550,3.770,1.116
ID44737,44737,39,71.468,137.203,177.108,0,5,5,3.250,1,-10921639,87.054,36,-101,413,3221,135.706,4.550,6.343,1.108
ID44677,44677,40,57.374,84.839,177.797,0,4,4,3.250,1,-10921639,75.108,56,-64,279,2779,94.928,4.550,5.092,1.323
ID44734,44734,40,63.806,85.701,175.450,0,5,5,3.250,1,-10921639,80.270,47,-97,372,2970,125.391,4.550,3.200,0.975
ID44678,44678,41,65.590,175.720,189.136,0,4,4,3.250,1,-10921639,99.270,94,-187,367,3673,160.267,4.550,2.336,0.867
ID44738,44738,41,151.642,177.495,190.767,0,5,5,3.250,1,-10921639,242.405,158,-196,961,8969,309.479,4.550,1.541,0.950
ID44621,44621,42,114.654,170.589,194.286,0,3,3,3.250,1,-10921639,209.784,179,-195,657,7762,223.380,4.550,1.402,1.096
ID44680,44680,42,104.054,172.483,196.476,0,4,4,3.250,1,-10921639,240.622,246,-56,612,8903,187.111,4.550,1.268,1.438
ID44740,44740,42,141.883,174.170,197.813,0,5,5,3.250,1,-10921639,280.270,251,-167,781,10370,243.222,4.550,1.312,1.308
ID44681,44681,43,94.399,166.863,203.544,0,4,4,3.250,1,-10921639,182.595,193,-222,534,6756,206.773,4.550,1.177,0.955
ID44741,44741,43,97.756,168.644,204.913,0,5,5,3.250,1,-10921639,216.595,232,-239,477,8014,181.169,4.550,1.382,1.387
ID44683,44683,44,64.069,159.490,210.511,0,4,4,3.250,1,-10921639,104.081,115,-217,416,3851,182.244,11.611,1.121,0.604
ID44743,44743,44,149.042,159.366,213.225,0,5,5,3.250,1,-10921639,289.081,272,-143,899,10696,297.229,4.550,1.411,1.138
ID44572,44572,45,159.584,131.024,213.281,0,2,2,3.250,1,-10921639,234.135,192,-195,867,8663,308.545,4.550,2.355,1.065
ID44626,44626,45,152.375,130.725,212.909,0,3,3,3.250,1,-10921639,227.459,194,-161,836,8416,283.798,4.550,2.064,1.080
ID44684,44684,45,92.154,131.365,212.779,0,4,4,3.250,1,-10921639,124.595,112,-160,590,4610,210.776,4.550,2.373,0.832
ID44742,44742,45,55.640,131.436,212.168,0,5,5,3.250,1,-10921639,72.189,74,-143,375,2671,133.004,4.550,3.346,0.836
ID44573,44573,46,96.830,140.540,213.789,0,2,2,3.250,1,-10921639,159.865,130,-224,611,5915,219.090,4.550,1.438,0.861
ID44627,44627,46,90.565,140.144,214.153,0,3,3,3.250,1,-10921639,160.676,150,-74,443,5945,141.313,4.550,1.806,1.464
ID44685,44685,46,64.726,139.628,214.193,0,4,4,3.250,1,-10921639,116.865,108,-24,291,4324,101.190,4.550,1.894,1.512
ID44744,44744,46,88.717,140.159,215.919,0,5,5,3.250,1,-10921639,145.216,151,-147,447,5373,171.172,4.550,2.198,1.166
ID44571,44571,47,94.587,146.826,211.942,0,2,2,3.250,1,-10921639,192.757,189,-165,572,7132,194.700,4.550,0.961,0.971
